Reflectance_cubist: R2=0.7604, RMSE=9.1633
Reflectance_rf: R2=0.5580, RMSE=12.4449
Reflectance_gbr: R2=0.5454, RMSE=12.6214
Reflectance_svr: R2=0.6082, RMSE=11.7170
Reflectance_krr: R2=0.6094, RMSE=11.6989
Reflectance_pls: R2=0.6204, RMSE=11.5334
Absorbance_cubist: R2=0.7713, RMSE=8.9528
Absorbance_rf: R2=0.5586, RMSE=12.4369
Absorbance_gbr: R2=0.5307, RMSE=12.8241
Absorbance_svr: R2=0.5993, RMSE=11.8497
Absorbance_krr: R2=0.6399, RMSE=11.2341
Absorbance_pls: R2=0.6585, RMSE=10.9395
Continuum Removal_cubist: R2=0.7635, RMSE=9.1036
Continuum Removal_rf: R2=0.6270, RMSE=11.4327
Continuum Removal_gbr: R2=0.6228, RMSE=11.4977
Continuum Removal_svr: R2=0.6035, RMSE=11.7875
Continuum Removal_krr: R2=0.4847, RMSE=13.4383
Continuum Removal_pls: R2=0.6046, RMSE=11.7719
